Description,Amount,Date
2014-05-01,Rustic Cotton Chair,$42.95
2014-05-01,Sleek Concrete Computer,$29.70
2014-05-03,Incredible Cotton Shoes,$50.44
2014-05-03,Ergonomic Plastic Hat,$20.32
2014-05-04,Intelligent Granite Chair,$17.71
2014-05-04,Small Rubber Shirt,$58.87
2014-05-09,Practical Rubber Shoes,$52.56
2014-05-12,Practical Granite Gloves,$36.26
2014-05-12,Intelligent Rubber Shoes,$99.85
2014-05-13,Incredible Plastic Shoes,$79.22
2014-05-13,Fantastic Cotton Gloves,$14.74
2014-05-14,Incredible Wooden Chair,$94.59
2014-05-14,Rustic Rubber Shoes,$97.61
2014-05-15,Rustic Rubber Shirt,$89.18
2014-05-16,Rustic Granite Table,$61.96
2014-05-17,Incredible Concrete Chair,$49.56
2014-05-18,Ergonomic Wooden Hat,$93.50
2014-05-19,Ergonomic Cotton Computer,$84.39
2014-05-19,Fantastic Cotton Car,$49.85
2014-05-20,Gorgeous Granite Pants,$12.50
2014-05-21,Gorgeous Plastic Computer,$59.68
2014-05-23,Rustic Rubber Gloves,$3.76
2014-05-24,Practical Concrete Hat,$29.78
2014-05-25,Awesome Plastic Shoes,$83.10
2014-05-26,Intelligent Cotton Shirt,$70.49
2014-05-26,Fantastic Rubber Car,$74.03
2014-05-27,Practical Cotton Hat,$48.74
2014-05-29,Rustic Granite Chair,$71.28
2014-05-29,Incredible Wooden Shirt,$14.15
2014-05-30,Incredible Granite Car,$96.15
2014-05-31,Ergonomic Concrete Pants,$48.01
2014-05-31,Awesome Steel Car,$58.69
2014-05-04,Payment Thank You,$-716.90
